date, pm25, pm10, o3, no2, so2, co
2024/11/1, 20, 45, 44, 13, 3, 5
2024/11/2, 103, 58, 47, 19, 3, 6
2024/11/3, 140, 48, 58, 18, 4, 6
2024/11/4, 124, 21, 31, 10, 3, 3
2024/11/5, 45, 20, 35, 12, 3, 3
2024/11/6, 35, 22, 30, 12, 3, 3
2024/11/7, 35, 30, 34, 15, 3, 3
2024/11/8, 55, 29, 33, 12, 3, 3
2024/11/9, 46, 27, 40, 11, 3, 4
2024/11/10, 61, 32, 41, 15, 3, 4
2024/11/11, 87, 37, 41, 16, 3, 4
2024/11/12, 93, 40, 42, 16, 3, 4
2024/11/13, 115, 25, , 12, , 4
2024/10/1, 30, 24, 39, 8, 3, 3
2024/10/2, 39, 20, 40, 7, 3, 3
2024/10/3, 33, 18, 41, 7, 3, 3
2024/10/4, 34, 17, 37, 7, 3, 3
2024/10/5, 31, 16, 32, 9, 2, 3
2024/10/6, 41, 12, 39, 8, 3, 3
2024/10/7, 36, 33, 39, 11, 3, 4
2024/10/8, 94, 32, 42, 16, 3, 4
2024/10/9, 73, 56, 69, 28, 4, 7
2024/10/10, 128, 60, 68, 24, 3, 6
2024/10/11, 146, 41, 58, 13, 3, 4
2024/10/12, 110, 17, 47, 10, 3, 3
2024/10/13, 43, 35, 34, 14, 3, 4
2024/10/14, 60, 43, 33, 16, 3, 6
2024/10/15, 108, 22, 33, 13, 3, 3
2024/10/16, 71, 28, 38, 11, 3, 4
2024/10/17, 68, 35, 50, 12, 3, 4
2024/10/18, 73, 25, 31, 9, 3, 4
2024/10/19, 52, 34, 30, 11, 3, 4
2024/10/20, 48, 37, 15, 20, 3, 8
2024/10/21, 82, 41, 23, 15, 3, 7
2024/10/22, 104, 32, 32, 12, 3, 6
2024/10/23, 95, 20, 37, 10, 3, 3
2024/10/24, 46, 33, 38, 9, 3, 3
2024/10/25, 47, 10, 25, 10, 3, 3
2024/10/26, 23, 14, 32, 11, 3, 3
2024/10/27, 34, 44, 35, 13, 3, 4
2024/10/28, 115, 18, 35, 15, 3, 4
2024/10/29, 49, 27, 38, 11, 7, 4
2024/10/30, 54, 21, 29, 12, 3, 3
2024/10/31, 49, 6, 37, 6, 3, 3
2024/7/1, 76, 22, 41, 6, 3, 4
2024/7/2, 63, 21, 72, 8, 3, 5
2024/7/3, 60, 33, 62, 11, 3, 5
2024/7/4, 80, 42, 14, 19, 3, 6
2024/7/5, 83, 39, 80, 10, 5, 5
2024/7/6, 79, 40, 74, 9, 4, 4
2024/7/7, 74, 38, 63, 10, 5, 4
2024/7/8, 73, 37, 74, 9, 4, 4
2024/7/9, 69, 34, 33, 11, 3, 5
2024/7/10, 67, 22, 39, 10, 2, 5
2024/7/11, 54, 21, 25, 12, 3, 5
2024/7/12, 70, 34, 34, 13, 3, 5
2024/7/13, 93, 47, 49, 10, 3, 5
2024/7/14, 126, 35, 55, 15, 4, 5
2024/7/15, 95, 19, 46, 8, 5, 3
2024/7/16, 53, 30, 74, 9, 6, 3
2024/7/17, 56, 33, 45, 9, 3, 4
2024/7/18, 70, 32, 72, 11, 5, 4
2024/7/19, 75, 31, 75, 10, 8, 4
2024/7/20, 68, 32, 79, 8, 5, 4
2024/7/21, 57, 24, 62, 6, 5, 3
2024/7/22, 48, 20, 42, 6, 5, 3
2024/7/23, 35, 24, 20, 4, 2, 3
2024/7/24, 34, 25, 20, 3, 2, 3
2024/7/25, 32, 32, 19, 4, 2, 3
2024/7/26, 44, 25, 25, 3, 2, 3
2024/7/27, 41, 21, 31, 4, 3, 3
2024/7/28, 42, 18, 43, 5, 4, 3
2024/7/29, 37, 19, 39, 6, 5, 3
2024/7/30, 37, 27, 72, 6, 3, 3
2024/7/31, 56, 30, 53, 8, 3, 4
2024/8/1, 45, 40, 118, 9, 3, 4
2024/8/2, 98, 40, 89, 9, 3, 4
2024/8/3, 101, 30, 70, 8, 3, 3
2024/8/4, 78, 34, 71, 8, 3, 3
2024/8/5, 90, 30, 42, 6, 3, 2
2024/8/6, 52, 25, 44, 6, 3, 3
2024/8/7, 61, 35, 79, 10, 3, 4
2024/8/8, 70, 30, 86, 9, 3, 4
2024/8/9, 60, 37, 92, 7, 3, 4
2024/8/10, 67, 41, 86, 8, 3, 5
2024/8/11, 77, 42, 68, 10, 3, 6
2024/8/12, 86, 33, 59, 6, 2, 5
2024/8/13, 78, 18, 48, 6, 2, 4
2024/8/14, 40, 24, 42, 6, 2, 5
2024/8/15, 53, 31, 33, 7, 2, 3
2024/8/16, 72, 18, 37, 5, 2, 3
2024/8/17, 48, 15, 31, 5, 2, 3
2024/8/18, 36, 16, 30, 5, 2, 3
2024/8/19, 33, 22, 61, 6, 3, 4
2024/8/20, 50, 20, 43, 7, 2, 4
2024/8/21, 37, 32, 91, 8, 2, 6
2024/8/22, 79, 28, 101, 7, 3, 6
2024/8/23, 66, 26, 47, 5, 2, 5
2024/8/24, 61, 24, 52, 6, 2, 5
2024/8/25, 56, 21, 49, 6, 2, 5
2024/8/26, 48, 40, 68, 10, 3, 8
2024/8/27, 75, 27, 34, 8, 2, 7
2024/8/28, 76, 15, 34, 5, 3, 5
2024/8/29, 41, 26, 49, 8, 3, 6
2024/8/30, 60, 24, 67, 8, 3, 5
2024/8/31, 61, 32, 91, 7, 3, 5
2024/9/1, 67, 33, 90, 9, 4, 6
2024/9/2, 76, 24, 30, 8, 2, 5
2024/9/3, 57, 23, 49, 7, 2, 5
2024/9/4, 55, 21, 45, 6, 2, 4
2024/9/5, 53, 36, 33, 6, 3, 4
2024/9/6, 76, 41, 37, 5, 3, 3
2024/9/7, 95, 24, 27, 7, 3, 3
2024/9/8, 66, 18, 25, 6, 3, 3
2024/9/9, 48, 27, 31, 7, 3, 4
2024/9/10, 67, 12, 17, 5, 2, 3
2024/9/11, 26, 23, 45, 6, 2, 3
2024/9/12, 52, 16, 31, 5, 2, 2
2024/9/13, 31, 16, 19, 7, 3, 3
2024/9/14, 35, 20, 27, 4, 2, 2
2024/9/15, 47, 13, 21, 3, 2, 2
2024/9/16, 32, 18, 22, 3, 2, 2
2024/9/17, 28, 21, 19, 5, 3, 3
2024/9/18, 40, 26, 10, 4, 2, 3
2024/9/19, 36, 16, 18, 9, 2, 3
2024/9/20, 39, 19, 28, 8, 2, 3
2024/9/21, 39, 29, 36, 9, 3, 3
2024/9/22, 47, 26, 40, 10, 3, 4
2024/9/23, 43, 26, 28, 13, 2, 4
2024/9/24, 52, 25, 20, 20, 2, 5
2024/9/25, 73, 13, 30, 15, 3, 4
2024/9/26, 46, 22, 54, 9, 3, 3
2024/9/27, 45, 31, 52, 8, 3, 4
2024/9/28, 62, 29, 37, 8, 2, 3
2024/9/29, 51, 31, 33, 6, 3, 3
2024/9/30, 61, 17, 32, 6, 2, 3
2024/4/1, 114, 27, 38, 18, 4, 6
2024/4/2, 63, 23, 39, 13, 3, 5
2024/4/3, 67, 37, 48, 12, 4, 6
2024/4/4, 77, 46, 53, 11, 4, 5
2024/4/5, 90, 38, 38, 13, 3, 4
2024/4/6, 97, 37, 35, 17, 3, 4
2024/4/7, 97, 30, 37, 18, 3, 6
2024/4/8, 87, 49, 60, 24, 4, 6
2024/4/9, 122, 52, 53, 15, 4, 5
2024/4/10, 106, 42, 43, 12, 3, 4
2024/4/11, 72, 26, 24, 15, 3, 4
2024/4/12, 60, 20, 30, 12, , 4
2024/4/13, 71, 20, 32, 11, 3, 5
2024/4/14, 59, 45, 55, 14, 3, 7
2024/4/15, 123, 42, 43, 16, 3, 6
2024/4/16, 112, 18, 34, 13, 3, 5
2024/4/17, 54, 73, 34, 17, 6, 8
2024/4/18, 106, 104, 38, 12, 3, 4
2024/4/19, 117, 44, 50, 10, 4, 6
2024/4/20, 88, 29, 38, 11, 3, 5
2024/4/21, 83, 33, 32, 15, 4, 5
2024/4/22, 95, 35, 40, 14, 3, 5
2024/4/23, 102, 38, 51, 15, 5, 6
2024/4/24, 90, 34, 42, 12, 4, 4
2024/4/25, 55, 36, 43, 9, 3, 4
2024/4/26, 71, 24, 34, 11, 3, 4
2024/4/27, 50, 23, 30, 12, 3, 5
2024/4/28, 69, 32, 34, 12, 3, 6
2024/4/29, 94, 31, 41, 13, 4, 5
